profile,dT,delta_b,dL_real,dL_init_abl,dL_wtd_beta,dL_wtd_beta_whole,tau,tau_req_init,tau_req_wtd,tau_len_3st,tau_93pct,beta_req_tau,beta_init_abl,beta_final_abl,beta_init_whole,beta_wtd,beta_wtd_whole,beta_req_tau_feq,dL_req_req,test_dL,beta_init_diff,test_diff,beta_wtd_whole_diff,diff_req_req
top_heavy,-1,0.601519546,3.975,3.287552577,3.627176952,2.508591964,50.6856709,61.2843558,55.54610224,46.0165115,40.66666667,130.3773621,107.8295428,127.5745656,83.63622715,118.9689969,82.28015164,143.6063676,4798.18546,3293.041741,-687.4474231,-681.9582593,-1466.408036,823.1854602
top_heavy,-0.75,0.451519546,3.975,2.467740669,2.747750801,1.963459802,50.6856709,81.64372552,73.32380424,60.53778191,59.66666667,173.6902252,107.8295428,138.1038958,83.63622715,120.0647687,85.79466042,145.423326,4814.549074,3281.849402,-1507.259331,-693.1505978,-2011.540198,839.5490739
top_heavy,-0.5,0.301519546,2.65,1.647928761,1.769579315,1.302779151,50.6856709,81.50657422,75.90336683,66.31191954,75.66666667,173.3984473,107.8295428,131.5710165,83.63622715,115.7895493,85.24523845,132.537509,3033.299646,2315.135601,-1002.071239,-334.864399,-1347.220849,383.2996464
top_heavy,-0.25,0.151519546,1.2,0.828116853,0.852375871,0.645635471,50.6856709,73.44712868,71.35678892,63.41122173,74.66666667,156.2526482,107.8295428,117.6028942,83.63622715,110.9883225,84.06854346,124.8954063,1350.36267,1066.380189,-371.8831467,-133.6198107,-554.3645288,150.3626704
top_heavy,0.25,-0.148480454,-1.075,-0.811506963,-0.802975981,-0.635316832,50.6856709,67.1431038,67.8564459,61.96229296,74.66666667,142.8413604,107.8295428,99.25579064,83.63622715,106.6959828,84.41815864,116.8454206,-1177.259198,-981.6232496,263.4930375,93.37675037,439.6831682,-102.2591984
top_heavy,0.5,-0.298480454,-2.075,-1.63131887,-1.601562317,-1.291146549,50.6856709,64.47100504,65.66885722,61.19046511,73.33333333,137.1566929,107.8295428,91.76791571,83.63622715,105.8626462,85.34428469,113.6104944,-2226.864569,-1933.492076,443.6811296,141.5079236,783.8534506,-151.8645693
top_heavy,0.75,-0.448480454,-3,-2.451130778,-2.403810795,-1.97619467,50.6856709,62.03545484,63.25664775,60.13878459,74.33333333,131.9752627,107.8295428,85.64899006,83.63622715,105.7478537,86.93627026,111.2302947,-3155.533397,-2852.132704,548.8692217,147.867296,1023.80533,-155.533397
top_heavy,1,-0.598480454,-3.9,-3.270942686,-3.194414182,-2.693966194,50.6856709,60.43337823,61.88117922,59.7359068,77.33333333,128.5669782,107.8295428,78.49243929,83.63622715,105.3067124,88.80899817,109.0885515,-4040.059186,-3764.796331,629.0573139,135.2036687,1206.033806,-140.0591856
,,,,,,,,,,,,,,,,,,,,,5453.761842,2361.548706,8832.909366,2746.113201
,,,,,,,,,,,,,,,,,,,,,,,,
neutral,-1,0.596375,3.05,3.049780264,3.078818743,2.712507806,54.93902623,54.94298458,54.42477911,55.07779271,64.33333333,93.08923307,93.08252648,105.0763443,83.03172096,93.96881165,82.78861356,92.85469816,3013.838575,3086.595306,-0.219736316,36.59530633,-337.4921939,-36.16142488
neutral,-0.75,0.450482422,2.3,2.303705553,2.304843798,2.042816831,54.93902623,54.85065578,54.82356784,55.70691791,65.66666667,92.9328015,93.08252648,102.1149456,83.03172096,93.1285179,82.54117001,91.65176985,2263.528674,2337.058974,3.705553336,37.05897364,-257.1831694,-36.47132586
neutral,-0.5,0.3005,1.525,1.536715941,1.536207699,1.362205064,54.93902623,54.52017043,54.538208,55.88984248,65.66666667,92.37286418,93.08252648,98.97217672,83.03172096,93.05174104,82.51198911,90.80138686,1488.119549,1562.794468,11.71594087,37.79446826,-162.7949356,-36.88045055
neutral,-0.25,0.1505,0.75,0.769636436,0.768311994,0.68360083,54.93902623,53.53731675,53.62960616,55.71227738,65.66666667,90.7076271,93.08252648,95.57880259,83.03172096,92.92234385,82.6770789,89.44866264,721.9630307,779.125767,19.63643628,29.12576698,-66.39916998,-28.03696934
neutral,0.25,-0.1495,-0.775,-0.764522573,-0.772924662,-0.688546729,54.93902623,55.69194009,55.08654001,56.67120823,72,94.35817931,93.08252648,89.51020428,83.03172096,94.10550177,83.83227833,91.4740774,-753.3290684,-797.2943368,10.47742709,-22.29433677,86.45327118,21.67093155
neutral,0.5,-0.2995,-1.55,-1.531602078,-1.56073426,-1.393540216,54.93902623,55.59896523,54.56117216,56.86111094,71.33333333,94.20065314,93.08252648,85.67569388,83.03172096,94.85302365,84.69187002,91.01637424,-1487.305039,-1615.337766,18.39792249,-65.33776618,156.459784,62.69496058
neutral,0.75,-0.4495,-2.325,-2.298681582,-2.370160772,-2.119492101,54.93902623,55.56804256,53.89222432,56.96356533,72.33333333,94.14826123,93.08252648,81.84173457,83.03172096,95.97699591,85.8264499,90.80214279,-2199.641487,-2457.502748,26.3184179,-132.5027485,205.5078989,125.358513
neutral,1,-0.5995,-3.075,-3.065761087,-3.208141845,-2.87958568,54.93902623,55.10458933,52.65898886,56.29322516,71.33333333,93.36303803,93.08252648,78.80458225,83.03172096,97.40548587,87.42987556,91.11708168,-2876.480967,-3287.219735,9.238913304,-212.2197346,195.4143203,198.5190333
,,,,,,,,,,,,,,,,,,,,,99.71034758,572.9291013,1467.704743,545.7936091
,,,,,,,,,,,,,,,,,,,,,,,,
bottom_heavy,-1,0.588355928,2.475,2.830537833,2.784582861,2.91928254,59.05793318,51.63979188,52.49202194,54.65431959,65.33333333,71.22899642,81.46115926,88.50463715,84.05839545,80.13860307,84.015178,76.96806661,2377.081176,2576.952382,355.537833,101.9523822,444.2825396,-97.91882368
bottom_heavy,-0.75,0.447424891,1.875,2.152528804,2.112832648,2.211804759,59.05793318,51.44350426,52.41003107,54.89022659,66.66666667,70.95824842,81.46115926,86.78360887,84.05839545,79.95888207,83.70442217,76.3459682,1790.278787,1963.730468,277.5288041,88.73046816,336.8047594,-84.72121327
bottom_heavy,-0.5,0.301759849,1.25,1.451744817,1.426872794,1.489700589,59.05793318,50.85082143,51.73720937,54.48619134,62.66666667,70.14073538,81.46115926,84.64178893,84.05839545,80.06552563,83.59095584,76.02599413,1186.933976,1316.416946,201.7448174,66.41694644,239.7005889,-63.06602424
bottom_heavy,-0.25,0.152241708,0.625,0.732423852,0.727907636,0.753684331,59.05793318,50.39596695,50.70864269,54.45191216,64,69.51333493,81.46115926,82.98214474,84.05839545,80.95885971,83.82577808,75.39338339,582.0346876,671.1369758,107.423852,46.13697577,128.6843305,-42.96531244
bottom_heavy,0.25,-0.147758292,-0.65,-0.710854458,-0.725991853,-0.740868772,59.05793318,54.00213241,52.87615334,57.17345606,76,74.48747478,81.46115926,79.03787915,84.05839545,83.19584596,84.90068298,76.94263407,-601.1443428,-702.8262098,-60.85445805,-52.82620976,-90.86877158,48.85565716
bottom_heavy,0.5,-0.297758292,-1.275,-1.432493613,-1.493477393,-1.509330481,59.05793318,52.56488693,50.41848318,54.60134343,64.33333333,72.50501999,81.46115926,77.58559854,84.05839545,84.92910449,85.83061704,78.42291704,-1177.325722,-1380.777613,-157.4936131,-105.7776134,-234.3304814,97.67427842
bottom_heavy,0.75,-0.447758292,-1.925,-2.154132768,-2.288443187,-2.295732503,59.05793318,52.77600483,49.67854216,54.37509938,68.33333333,72.79622403,81.46115926,75.22307991,84.05839545,86.54027165,86.81592603,79.0655021,-1758.731382,-2106.987479,-229.1327681,-181.9874789,-370.7325032,166.2686183
bottom_heavy,1,-0.597758292,-2.575,-2.875771923,-3.126156801,-3.110532795,59.05793318,52.88116791,48.64572944,53.99034138,67.33333333,72.94128001,81.46115926,73.06265342,84.05839545,88.55373925,88.11116257,79.7876274,-2320.095597,-2857.910255,-300.7719231,-282.910255,-535.5327954,254.9044028
,,,,,,,,,,,,,,,,,,,,,1690.488069,926.7383296,2380.93677,856.3743303
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7243.960259,3861.216136,12681.55088,4148.281141
