shape,dT,dL_real,dL_init_abl,dL_final_abl,dL_whole,dL_wtd_beta,dL_wtd_beta_whole,delta_b,tau,tau_wtd,tau_req_init,tau_req_wtd,tau_req_whole,tau_flux_exp,tau_vol_exp,tau_flux_per_vol_exp,tau_len_3st,tau_93pct,tau_mean_h,tau_max_h,beta_init_abl,beta_final_abl,beta_init_whole,beta_wtd,beta_wtd_whole
hourglass,-1.0,2.475,3.054628713378733,3.1491879658280224,2.69642182360872,2.891610210371889,2.677046814669417,0.5965764453124992,56.48050860445818,58.28102492108571,45.76309329634132,48.343050627856144,51.842503859039724,44.19751316989449,69.25185369913157,15.354924353568945,51.67049138055226,61.333333333333336,63.90369751927027,77.11442736345185,90.65541051406286,93.46174432843056,80.02453007388416,85.81733993391472,79.44951767338743
hourglass,-0.75,1.875,2.3115630454968374,2.3564013640685424,2.040493175234651,2.201850837772982,2.0221338395926325,0.4514539062499991,56.48050860445818,57.667304641437525,45.81356923821094,48.09633414608162,51.89968529112124,43.71645862753643,68.17119064549063,16.694301675249363,51.92239923847207,62.333333333333336,63.90369751927027,77.11442736345185,90.65541051406286,92.4138899917466,80.02453007388416,86.35269194924324,79.30450943129992
hourglass,-0.5,1.25,1.543631497022091,1.5575766596909049,1.3626145914068402,1.4927754746840818,1.3517026226322095,0.30147499999999905,56.48050860445818,57.20672235579879,45.73671623815173,47.294879205135686,51.81262273338835,43.199407808697714,66.82523727250882,18.168671606956764,51.854681564254335,59.0,63.90369751927027,77.11442736345185,90.65541051406286,91.47439124156521,80.02453007388416,87.66870443099918,79.38368476158706
hourglass,-0.25,0.625,0.7755919429850581,0.7767888188754121,0.6846406674959793,0.7627591487778147,0.6818976857941705,0.15147499999999897,56.48050860445818,56.927333245293326,45.514033761006246,46.27976987801302,51.560357942064066,42.79645321177736,65.4621751432239,19.998499120145265,52.00161199941943,60.666666666666664,63.90369751927027,77.11442736345185,90.65541051406286,90.79530788684478,80.02453007388416,89.15544363402716,79.70391543308092
hourglass,0.25,-0.65,-0.7604871650890067,-0.7553800320134358,-0.6713071803257415,-0.7818346929374544,-0.679163929702765,-0.148525000000001,56.48050860445818,56.288809249365585,48.274753708172106,46.95664048235673,54.68782648069356,40.8829234465546,62.77041908111199,23.864237159693822,53.11061607867047,64.33333333333333,63.90369751927027,77.11442736345185,90.65541051406286,90.0466043871881,80.02453007388416,93.2001857442075,80.96110977276284
hourglass,0.5,-1.325,-1.5285267191260385,-1.4941051005855628,-1.3492811042366015,-1.6005659631055043,-1.379636786149455,-0.2985250000000009,56.48050860445818,56.31975518247686,48.96000375034088,46.7563821960233,55.464108750895385,40.33151641260406,62.02122499137214,26.76102354889199,53.74584465872956,64.66666666666667,63.90369751927027,77.11442736345185,90.65541051406286,88.61389830475748,80.02453007388416,94.92798694623362,81.82489559632495
hourglass,0.75,-2.025,-2.296566273163071,-2.198832541445163,-2.027255028147462,-2.4455066940506307,-2.099387776374834,-0.44852500000000084,56.48050860445818,56.0317378660128,49.80175458490094,46.76864316187387,56.41768220377468,39.42896400003267,61.57895124313336,29.90520686020007,54.41261663308096,66.66666666666667,63.90369751927027,77.11442736345185,90.65541051406286,86.7974371241832,80.02453007388416,96.53473355188765,82.87192184240187
hourglass,1.0,-2.75,-3.0646058272001038,-2.8643527563552116,-2.705228952058323,-3.3138834792376874,-2.8476058997377005,-0.5985250000000009,56.48050860445818,55.883275318769044,50.682341358126735,46.86990343365649,57.41525076614343,38.10598784346558,61.3788027838266,33.30209758630898,54.998580855633435,72.0,63.90369751927027,77.11442736345185,90.65541051406286,84.73163911644357,80.02453007388416,98.02939893269591,84.23624321658401
oval,-1.0,3.975,3.067411646761732,3.8789865506534325,2.7710862717988123,3.434137121424306,2.7933449179516407,0.5993128496093745,53.87198396864023,53.71314564770596,69.81167216386291,62.356606245976,77.2769647970354,75.2260945923026,72.31226597305162,60.78706356327075,54.665799423463135,54.0,59.70731123827139,69.06312709991676,95.0069777629972,120.1438970051359,85.82888836653976,106.36557029268714,86.51830568107225
oval,-0.75,3.35,2.3174455012007646,2.996773759127011,2.0935701345461406,2.558163255896267,2.139251689161458,0.45278398437499945,53.87198396864023,50.89488079342478,77.8750336098239,70.54715756665642,86.20257965901325,70.58722930134067,78.59441000934801,50.325714620753466,64.76586224542653,74.33333333333333,59.70731123827139,69.06312709991676,95.0069777629972,122.85700688391209,85.82888836653976,104.87554483638226,87.70166873667912
