shape,dT,delta_b,dL_real,dL_init_abl,dL_wtd_beta,dL_wtd_beta_whole,tau,tau_req_init,tau_req_wtd,tau_vol_exp,tau_len_3st,tau_93pct,tau_mean_h,tau_max_h,beta_init_abl,beta_final_abl,beta_init_whole,beta_wtd,beta_wtd_whole,beta_req_tau_feq,dL_req_req,test_dL,beta_init_diff,test_diff,beta_wtd_diff,dL_req_req_diff,beta*tau,what b would be for the diagnosed beta*tau,
hourglass,-1,0.596576445,2.475,3.054628713,2.89161021,2.677046815,56.4805086,45.7630933,48.34305063,69.2518537,51.67049138,61.33333333,63.90369752,77.11442736,90.65541051,93.46174433,80.02453007,85.81733993,79.44951767,80.29093392,2315.616653,2645.353665,579.6287134,170.3536652,416.6102104,159.3833471,4434.224123,0.558158526,0.038417919
hourglass,-0.75,0.451453906,1.875,2.311563045,2.201850838,2.02213384,56.4805086,45.81356924,48.09633415,68.17119065,51.92239924,62.33333333,63.90369752,77.11442736,90.65541051,92.41388999,80.02453007,86.35269195,79.30450943,79.98952258,1736.834735,2024.156317,436.5630455,149.1563167,326.8508378,138.165265,4483.638947,0.418187107,0.033266799
hourglass,-0.5,0.301475,1.25,1.543631497,1.492775475,1.351702623,56.4805086,45.73671624,47.29487921,66.82523727,51.85468156,59,63.90369752,77.11442736,90.65541051,91.47439124,80.02453007,87.66870443,79.38368476,79.95962295,1140.082192,1370.515224,293.631497,120.5152237,242.7754747,109.9178083,4546.032751,0.274965023,0.026509977
hourglass,-0.25,0.151475,0.625,0.775591943,0.762759149,0.681897686,56.4805086,45.51403376,46.27976988,65.46217514,52.001612,60.66666667,63.90369752,77.11442736,90.65541051,90.79530789,80.02453007,89.15544363,79.70391543,79.34549057,556.229991,702.2724526,150.591943,77.27245264,137.7591488,68.77000901,4636.226787,0.134807901,0.016667099
hourglass,0.25,-0.148525,-0.65,-0.760487165,-0.781834693,-0.67916393,56.4805086,48.27475371,46.95664048,62.77041908,53.11061608,64.33333333,63.90369752,77.11442736,90.65541051,90.04660439,80.02453007,93.20018574,80.96110977,82.40099509,-574.6839063,-735.1867616,-110.4871651,-85.18676159,-131.8346929,-75.31609371,4949.919284,-0.131315273,-0.017209727
hourglass,0.5,-0.298525,-1.325,-1.528526719,-1.600565963,-1.379636786,56.4805086,48.96000375,46.7563822,62.02122499,53.74584466,64.66666667,63.90369752,77.11442736,90.65541051,88.6138983,80.02453007,94.92798695,81.8248956,82.58292835,-1152.688302,-1523.070024,-203.5267191,-198.0700244,-275.5659631,-172.3116982,5101.98484,-0.259702849,-0.038822151
hourglass,0.75,-0.448525,-2.025,-2.296566273,-2.445506694,-2.099387776,56.4805086,49.80175458,46.76864316,61.57895124,54.41261663,66.66666667,63.90369752,77.11442736,90.65541051,86.79743712,80.02453007,96.53473355,82.87192184,82.97337613,-1740.524685,-2355.970608,-271.5662732,-330.9706084,-420.5066941,-284.4753154,5252.707449,-0.385515474,-0.063009526
hourglass,1,-0.598525,-2.75,-3.064605827,-3.313883479,-2.8476059,56.4805086,50.68234136,46.86990343,61.37880278,54.99858086,72,63.90369752,77.11442736,90.65541051,84.73163912,80.02453007,98.02939893,84.23624322,83.54085488,-2343.555642,-3226.934264,-314.6058272,-476.9342643,-563.8834792,-406.4443584,5391.477823,-0.510064233,-0.088460767
,,,,,,,,,,,,,,,,,,,,,,0,2360.601183,1608.459317,2515.786501,1414.783895,0,,0
,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
